"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2025","AQS","060190011","1","64.2","ug/m3 LC","157","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/04/2025","AQS","060190011","1","10","ug/m3 LC","53","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/07/2025","AQS","060190011","1","14.8","ug/m3 LC","62","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/10/2025","AQS","060190011","1","18.2","ug/m3 LC","68","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/13/2025","AQS","060190011","1","13.6","ug/m3 LC","59","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/16/2025","AQS","060190011","1","17.7","ug/m3 LC","67","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/19/2025","AQS","060190011","1","32.1","ug/m3 LC","94","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/22/2025","AQS","060190011","1","26.3","ug/m3 LC","83","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/25/2025","AQS","060190011","1","31","ug/m3 LC","92","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/28/2025","AQS","060190011","1","11.3","ug/m3 LC","55","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/31/2025","AQS","060190011","1","17","ug/m3 LC","66","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"02/03/2025","AQS","060190011","1","8.4","ug/m3 LC","47","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"02/06/2025","AQS","060190011","1","4.9","ug/m3 LC","27","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"02/09/2025","AQS","060190011","1","8.1","ug/m3 LC","45","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"02/12/2025","AQS","060190011","1","5","ug/m3 LC","28","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"02/15/2025","AQS","060190011","1","10.7","ug/m3 LC","54","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"02/18/2025","AQS","060190011","1","6.1","ug/m3 LC","34","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"02/21/2025","AQS","060190011","1","9.3","ug/m3 LC","51","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"02/24/2025","AQS","060190011","1","7.8","ug/m3 LC","43","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"02/27/2025","AQS","060190011","1","10.3","ug/m3 LC","53","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"03/02/2025","AQS","060190011","1","1.9","ug/m3 LC","11","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"03/05/2025","AQS","060190011","1","3.8","ug/m3 LC","21","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"03/08/2025","AQS","060190011","1","6.6","ug/m3 LC","37","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"03/11/2025","AQS","060190011","1","6.2","ug/m3 LC","34","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"03/14/2025","AQS","060190011","1","3.5","ug/m3 LC","19","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"03/17/2025","AQS","060190011","1","3.1","ug/m3 LC","17","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"03/20/2025","AQS","060190011","1","2","ug/m3 LC","11","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"03/23/2025","AQS","060190011","1","5","ug/m3 LC","28","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"03/26/2025","AQS","060190011","1","6.6","ug/m3 LC","37","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"03/29/2025","AQS","060190011","1","3.1","ug/m3 LC","17","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"04/01/2025","AQS","060190011","1","2.1","ug/m3 LC","12","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"04/04/2025","AQS","060190011","1","4.5","ug/m3 LC","25","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"04/07/2025","AQS","060190011","1","3.2","ug/m3 LC","18","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"04/10/2025","AQS","060190011","1","7.3","ug/m3 LC","41","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"04/13/2025","AQS","060190011","1","5.8","ug/m3 LC","32","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"04/16/2025","AQS","060190011","1","7","ug/m3 LC","39","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"04/19/2025","AQS","060190011","1","9","ug/m3 LC","50","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"04/22/2025","AQS","060190011","1","5.9","ug/m3 LC","33","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"04/25/2025","AQS","060190011","1","4.2","ug/m3 LC","23","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"04/28/2025","AQS","060190011","1","4.9","ug/m3 LC","27","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"05/01/2025","AQS","060190011","1","11","ug/m3 LC","55","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"05/04/2025","AQS","060190011","1","7.4","ug/m3 LC","41","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"05/07/2025","AQS","060190011","1","9.7","ug/m3 LC","52","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"05/10/2025","AQS","060190011","1","10.3","ug/m3 LC","53","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"05/13/2025","AQS","060190011","1","2.7","ug/m3 LC","15","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"05/16/2025","AQS","060190011","1","5.8","ug/m3 LC","32","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"05/19/2025","AQS","060190011","1","6","ug/m3 LC","33","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"05/22/2025","AQS","060190011","1","5.5","ug/m3 LC","31","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"05/25/2025","AQS","060190011","1","4.8","ug/m3 LC","27","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"05/28/2025","AQS","060190011","1","6.4","ug/m3 LC","36","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"05/31/2025","AQS","060190011","1","14.8","ug/m3 LC","62","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"06/03/2025","AQS","060190011","1","7.4","ug/m3 LC","41","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"06/06/2025","AQS","060190011","1","6.8","ug/m3 LC","38","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"06/09/2025","AQS","060190011","1","7.1","ug/m3 LC","39","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"06/12/2025","AQS","060190011","1","8.6","ug/m3 LC","48","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"06/15/2025","AQS","060190011","1","6.8","ug/m3 LC","38","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"06/18/2025","AQS","060190011","1","8.2","ug/m3 LC","46","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"06/21/2025","AQS","060190011","1","4.8","ug/m3 LC","27","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"06/24/2025","AQS","060190011","1","5.5","ug/m3 LC","31","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"06/27/2025","AQS","060190011","1","7.8","ug/m3 LC","43","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"06/30/2025","AQS","060190011","1","6.8","ug/m3 LC","38","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"07/03/2025","AQS","060190011","1","9","ug/m3 LC","50","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"07/06/2025","AQS","060190011","1","5.7","ug/m3 LC","32","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"07/09/2025","AQS","060190011","1","5.7","ug/m3 LC","32","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"07/12/2025","AQS","060190011","1","14.4","ug/m3 LC","61","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"07/15/2025","AQS","060190011","1","9.9","ug/m3 LC","52","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"07/18/2025","AQS","060190011","1","6.6","ug/m3 LC","37","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"07/21/2025","AQS","060190011","1","4.3","ug/m3 LC","24","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"07/24/2025","AQS","060190011","1","4.1","ug/m3 LC","23","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"07/27/2025","AQS","060190011","1","3.7","ug/m3 LC","21","Fresno - Garland","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","707","IMPROVE Module A with Cyclone Inlet-Teflon Filter, 2.2 sq. cm.","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/01/2025","AQS","060190011","2","39.5","ug/m3 LC","111","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/04/2025","AQS","060190011","2","12.5","ug/m3 LC","57","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/07/2025","AQS","060190011","2","20.4","ug/m3 LC","72","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/10/2025","AQS","060190011","2","19.8","ug/m3 LC","71","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/13/2025","AQS","060190011","2","15","ug/m3 LC","62","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/16/2025","AQS","060190011","2","23.3","ug/m3 LC","77","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/19/2025","AQS","060190011","2","36.5","ug/m3 LC","103","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/22/2025","AQS","060190011","2","29.5","ug/m3 LC","89","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/25/2025","AQS","060190011","2","23","ug/m3 LC","77","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/28/2025","AQS","060190011","2","14.2","ug/m3 LC","61","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"01/31/2025","AQS","060190011","2","27.1","ug/m3 LC","85","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"02/03/2025","AQS","060190011","2","10.3","ug/m3 LC","53","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"02/06/2025","AQS","060190011","2","5.5","ug/m3 LC","31","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"02/09/2025","AQS","060190011","2","8.9","ug/m3 LC","49","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"02/12/2025","AQS","060190011","2","5.9","ug/m3 LC","33","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"02/15/2025","AQS","060190011","2","12.1","ug/m3 LC","57","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"02/21/2025","AQS","060190011","2","10.6","ug/m3 LC","54","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"02/24/2025","AQS","060190011","2","13.5","ug/m3 LC","59","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"02/27/2025","AQS","060190011","2","13","ug/m3 LC","58","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"03/02/2025","AQS","060190011","2","2.3","ug/m3 LC","13","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"03/05/2025","AQS","060190011","2","5.6","ug/m3 LC","31","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"03/08/2025","AQS","060190011","2","7.4","ug/m3 LC","41","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"03/11/2025","AQS","060190011","2","8.3","ug/m3 LC","46","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
"03/14/2025","AQS","060190011","2","3.9","ug/m3 LC","22","Fresno - Garland","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","23420","Fresno, CA","06","California","019","Fresno","36.78538","-119.77321"
